client,year_month,total_amount,purchase_count,garden_purchase,target
client100,2019-05,7299,1,1,0
client1000,2018-09,4336,2,0,0
client1000,2018-10,454,1,0,0
client1000,2018-11,1019,1,0,0
client1000,2019-03,7896,1,0,0
client1000,2019-07,13723,6,0,0
client1000,2019-08,4364,3,0,0
client1000,2019-09,4703,2,0,0
client10001,2018-09,391,1,0,0
client10001,2018-10,307,1,0,0
client10001,2019-03,997,2,0,0
client10002,2018-12,3545,1,0,1
client10002,2019-02,797,1,1,0
client10002,2019-03,669,1,0,1
client10003,2018-07,3435,3,0,1
client10003,2018-08,6553,8,1,0
client10003,2018-09,69,1,0,0
client10003,2018-10,538,1,0,0
client10003,2019-05,10853,9,0,0
client10003,2019-06,19679,13,0,0
client10003,2019-07,4323,6,0,0
client10003,2019-08,8910,5,0,0
client10004,2018-04,931,1,0,1
client10004,2018-05,941,1,1,0
client10004,2018-07,65,1,0,0
client10004,2018-10,604,1,0,0
client10004,2018-12,3478,3,0,0
client10004,2019-02,793,1,0,0
client10004,2019-05,194,1,0,0
client10004,2019-07,198,1,0,0
client10005,2018-10,4461,3,1,1
client10005,2018-12,105,1,1,1
client10005,2019-01,109,1,1,0
client10005,2019-05,171,1,0,1
client10007,2019-04,7498,1,0,0
client10007,2019-06,9590,1,0,0
client1001,2018-05,2999,1,0,0
client1001,2018-08,2877,2,0,0
client1001,2018-09,3393,1,0,1
client1001,2018-10,16383,11,1,0
client1001,2018-11,3280,8,0,0
client1001,2018-12,970,4,0,0
client1001,2019-01,461,2,0,0
client1001,2019-02,1356,3,0,0
client1001,2019-03,189,1,0,0
client1001,2019-04,369,2,0,0
client1001,2019-05,1282,3,0,0
client10011,2019-09,10962,2,0,1
client10012,2017-10,3064,2,0,0
client10012,2017-11,2574,1,0,0
client10012,2017-12,1000,2,0,0
client10012,2018-03,2576,2,0,0
client10012,2018-05,829,1,0,0
client10012,2018-09,438,1,0,0
client10012,2018-10,3145,3,0,0
client10012,2018-11,2012,1,0,0
client10012,2019-01,3020,2,0,0
client10012,2019-02,8547,2,0,0
client10012,2019-03,196,1,0,0
client10012,2019-05,1624,2,0,0
client10012,2019-06,865,1,0,0
client10012,2019-07,68,1,0,0
client10012,2019-08,2224,3,0,0
client10013,2018-02,1821,1,0,0
client10013,2018-05,445,1,0,0
client10014,2018-08,1245,2,0,0
client10015,2019-06,9568,4,0,0
client10016,2018-10,14726,3,0,0
