client,recency,frequency,monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,event
client1,587,1,2273,9,2273.0,4,9.0,0.0,29,False
client10,27,1,4757,3,4757.0,3,3.0,0.0,79,False
client100,116,1,7299,1,7299.0,1,1.0,0.0,7299,False
client1000,8,12,31792,151,2649.3333333333335,28,12.583333333333334,4.0,387,True
client10000,396,1,8495,5,8495.0,5,5.0,0.0,599,False
client10001,21,5,1874,33,374.8,18,6.6,4.0,179,False
client10002,94,4,5850,25,1462.5,18,6.25,2.0,12,False
client10003,1,39,54360,577,1393.8461538461538,110,14.794871794871796,5.0,385,True
client10004,35,10,7204,50,720.4,35,5.0,4.0,79,True
client10005,116,5,4846,33,969.2,22,6.6,0.0,25,False
client10006,392,1,4493,27,4493.0,6,27.0,1.0,79,False
client10007,26,4,26944,19,6736.0,18,4.75,2.0,699,False
client10008,18,1,2999,1,2999.0,1,1.0,0.0,2999,False
client10009,201,1,1799,1,1799.0,1,1.0,0.0,1799,False
client1001,68,37,35510,177,959.7297297297297,82,4.783783783783784,9.0,239,False
client10010,205,1,8298,11,8298.0,2,11.0,0.0,6903,False
client10012,13,25,32182,68,1287.28,29,2.72,6.0,269,True
client10013,377,3,2502,16,834.0,9,5.333333333333333,1.0,236,False
client10014,357,3,2206,13,735.3333333333334,11,4.333333333333333,2.0,258,False
client10015,55,7,13398,68,1914.0,29,9.714285714285714,3.0,435,False
client10016,105,14,56180,295,4012.8571428571427,62,21.071428571428573,5.0,474,False
client10017,44,9,5979,30,664.3333333333334,21,3.3333333333333335,2.0,2999,False
client10018,12,17,65698,105,3864.5882352941176,38,6.176470588235294,8.0,244,True
client10019,83,4,16480,39,4120.0,22,9.75,2.0,1999,False
client1002,118,3,2558,23,852.6666666666666,20,7.666666666666667,0.0,239,False
client10020,178,4,12270,35,3067.5,18,8.75,1.0,33,False
client10021,191,1,7499,1,7499.0,1,1.0,0.0,7499,False
client10022,728,1,381,5,381.0,5,5.0,1.0,99,False
client10023,57,31,92821,399,2994.2258064516127,84,12.870967741935484,14.0,15,True
client10024,74,1,2593,10,2593.0,5,10.0,0.0,19,False
client10025,525,1,3666,4,3666.0,4,4.0,1.0,1699,False
client10026,644,1,1223,7,1223.0,4,7.0,1.0,169,False
client10027,354,2,3960,12,1980.0,7,6.0,0.0,149,False
client10028,54,8,8744,61,1093.0,19,7.625,2.0,319,False
client10029,41,2,3435,26,1717.5,10,13.0,0.0,699,False
client1003,127,7,5901,49,843.0,27,7.0,4.0,409,False
client10030,87,5,2745,36,549.0,11,7.2,1.0,269,False
client10031,19,23,26596,97,1156.3478260869565,53,4.217391304347826,7.0,62,False
client10033,355,1,645,5,645.0,1,5.0,0.0,645,False
client10034,358,1,3190,1,3190.0,1,1.0,1.0,3190,True
client10036,537,3,12897,29,4299.0,9,9.666666666666666,0.0,169,False
client10037,25,15,48660,70,3244.0,35,4.666666666666667,4.0,768,True
client10038,118,3,1184,11,394.6666666666667,5,3.6666666666666665,1.0,44,False
client1004,217,2,2883,17,1441.5,7,8.5,2.0,198,False
client10040,413,1,1756,4,1756.0,2,4.0,1.0,1099,False
client10041,374,2,13449,27,6724.5,19,13.5,0.0,229,False
client10042,486,1,3766,21,3766.0,14,21.0,0.0,13,False
client10043,112,1,274,2,274.0,2,2.0,1.0,49,False
client10044,504,1,548,1,548.0,1,1.0,1.0,548,False
client10045,49,2,930,35,465.0,5,17.5,1.0,95,False
client10046,233,1,1596,4,1596.0,1,4.0,0.0,1596,False
client10047,108,1,4399,1,4399.0,1,1.0,0.0,4399,False
client10048,35,6,27111,47,4518.5,27,7.833333333333333,3.0,651,True
client10049,37,8,13250,44,1656.25,19,5.5,2.0,319,False
